Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
JN512567.1.1406	0.07451364	0.057006596	0.4073886	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
JN513651.1.1426	0.066109694	0.091423706	0.63778919	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
JN455816.1.1397	0.064238665	0.100999047	0.688202811	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
JN440191.1.1341	0.06226369	0.111953199	0.745506527	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
JN427890.1.1474	0.061640013	0.115600074	0.752684929	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
AM490666.1.1517	0.059202952	0.130749672	0.819651264	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HE804582.1.1464	0.059091145	0.131479896	0.819651264	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AJ390469.1.1285	0.057613374	0.141429895	0.858864974	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-74; D_3__uncultured soil bacterium PBS-74; D_4__uncultured soil bacterium PBS-74; D_5__uncultured soil bacterium PBS-74; D_6__uncultured soil bacterium PBS-74
JN825631.1.1413	0.056886023	0.146534369	0.858864974	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JX013320.1.1373	0.05688186	0.146563989	0.858864974	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN455175.1.1270	0.055682947	0.155284156	0.892122701	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
KJ476565.1.1448	0.052318733	0.181846806	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
LN563653.1.1340	0.047270539	0.227792094	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AB486863.1.1375	0.047038208	0.230089103	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ190316.1.1509	0.046983619	0.23063119	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN480371.1.1434	-0.044649338	0.254662868	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
AJ390452.1.1274	0.042526065	0.277983462	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-III-18; D_3__uncultured soil bacterium PBS-III-18; D_4__uncultured soil bacterium PBS-III-18; D_5__uncultured soil bacterium PBS-III-18; D_6__uncultured soil bacterium PBS-III-18
JQ919770.1.1381	-0.041485409	0.289926919	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured candidate division BRC1 bacterium; D_3__uncultured candidate division BRC1 bacterium; D_4__uncultured candidate division BRC1 bacterium; D_5__uncultured candidate division BRC1 bacterium; D_6__uncultured candidate division BRC1 bacterium
AJ390445.1.1353	0.040738	0.298714327	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-II-34; D_3__uncultured soil bacterium PBS-II-34; D_4__uncultured soil bacterium PBS-II-34; D_5__uncultured soil bacterium PBS-II-34; D_6__uncultured soil bacterium PBS-II-34
AJ390438.1.1388	-0.038797383	0.3223502	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-II-1; D_3__uncultured soil bacterium PBS-II-1; D_4__uncultured soil bacterium PBS-II-1; D_5__uncultured soil bacterium PBS-II-1; D_6__uncultured soil bacterium PBS-II-1
JN472967.1.1263	-0.037950709	0.333033412	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
HM346812.1.1229	0.036883678	0.346817741	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
FN824858.1.1307	-0.034828014	0.374377842	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AJ390449.1.1278	0.034498418	0.378919062	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-III-4; D_3__uncultured soil bacterium PBS-III-4; D_4__uncultured soil bacterium PBS-III-4; D_5__uncultured soil bacterium PBS-III-4; D_6__uncultured soil bacterium PBS-III-4
JN453554.1.1430	0.033174385	0.397499942	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
AB486925.1.1375	-0.028805919	0.462575249	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KC551608.1.1473	-0.026025251	0.506903996	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KC358123.1.1285	0.024404729	0.533728505	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN530671.1.1397	0.02397502	0.540959544	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
JN454539.1.1347	0.023907594	0.542098583	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
EU385882.1.1515	0.023907594	0.542098583	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AJ390457.1.1364	-0.023387863	0.550918316	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-III-29; D_3__uncultured soil bacterium PBS-III-29; D_4__uncultured soil bacterium PBS-III-29; D_5__uncultured soil bacterium PBS-III-29; D_6__uncultured soil bacterium PBS-III-29
JF428851.1.1506	-0.020685266	0.597882443	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ904105.1.1449	0.020373428	0.603416009	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
